infile,author,dob,dod,gender,wikidata,bnf,viaf,loc,bne,isni,birth_date,death_date,century
"Abente_y_Lago,Victorino",Victorino Abente y Lago,1846-06-02,1935-12-22,male,Q11705076,12073572v,4953742,n84157483,XX5417948,0000 0000 2595 8160,1846-06-02T00:00:00Z,1935-12-22T00:00:00Z,<XXI
"Aburto_Uribe,Teresa",Teresa Aburto Uribe,,,,,,,,,,,,XXI
"Aching_Samatelo,César",César Aching Samatelo,,,,,,,,,,,,XXI
"Acosta_Sánchez,Juan_Felipe",Juan Felipe Acosta Sánchez,,,,,,,,,,,,XXI
"Acuña,Hernando_de",Hernando de Acuña,1518-01-01,1580-06-22,male,Q1749066,129560056,25407038,n82103154,XX820757,0000 0001 1610 0661,1518-01-01T00:00:00Z,1580-06-22T00:00:00Z,<XXI
"Acuña,Manuel",Manuel Acuña,1849-08-07,1873-12-06,male,Q2255746,12146059j,39414418,nr99018314,XX828217,0000 0000 8374 0549,1849-08-07T00:00:00Z,1873-12-06T00:00:00Z,<XXI
"Adames,Roberto_José",Roberto José Adames,,,,,,,,,,,,XXI
"Adrados_Maestre,Enrique",Enrique Adrados Maestre,,,,,,,,,,,,XXI
Aguijonmagico,Aguijonmagico,,,,,,,,,,,,XXI
"Aguilar_Martínez,Luis",Luis Aguilar Martínez,,,,,,,,,,,,XXI
"Aguirre,Mirta",Mirta Aguirre,1912-10-18,1980-08-08,female,Q9033592,12029678m,112207079,n81103550,XX1134234,0000 0001 0936 3383,1912-10-18T00:00:00Z,1980-08-08T00:00:00Z,<XXI
"Aguirre_y_Fierro,Guillermo",Guillermo Aguirre y Fierro,1887-05-27,1949-05-27,male,,12029678m,112207079,n81103550,XX1134234,0000 0001 0936 3383,1887-05-27T00:00:00Z,1949-05-27T00:00:00Z,<XXI
"Agustini,Delmira",Delmira Agustini,1886-10-24,1914-07-06,female,Q239458,120213091,72187462,n82214943,XX1010031,0000 0001 0914 7517,1886-10-24T00:00:00Z,1914-07-06T00:00:00Z,<XXI
"Ainchil,Claudia",Claudia Ainchil,,,,,,,,,,,,XXI
"Akinin_Levy,Samuel",Samuel Akinin Levy,,,,,,,,,,,,XXI
"Al_Haded,Alí",Alí Al Haded,,,,,,,,,,,,XXI
"Alba,Juan_Luis",Juan Luis Alba,,,,,,,,,,,,XXI
"Albaíno,Genaro",Genaro Albaíno,,,,,,,,,,,,XXI
"Alberca,Marta",Marta Alberca,,,,,,,,,,,,XXI
"Alberti,Rafael",Rafael Alberti,1902-12-16,1999-10-28,male,Q118936,11885596s,51683733,n79021551,XX1719975,0000 0001 2279 8162,1902-12-16T00:00:00Z,1999-10-28T00:00:00Z,<XXI
"Alcántara_Fernández,Orlando",Orlando Alcántara Fernández,,,,,,,,,,,,XXI
"Alcázar,Baltasar_del",Baltasar del Alcázar,1530-01-01,1606-01-16,male,Q4852628,14430874s,39594751,n86834368,XX904436,0000 0000 8700 8005,1530-01-01T00:00:00Z,1606-01-16T00:00:00Z,<XXI
"Aldana,Francisco_de",Francisco de Aldana,1537-01-01,1578-08-04,male,Q3751057,12034937v,37164133,n78095607,XX830601,0000 0001 0888 7417,1537-01-01T00:00:00Z,1578-08-04T00:00:00Z,<XXI
"Aleixandre,Vicente",Vicente Aleixandre,1898-04-26,1984-12-14,male,Q134644,11885602w,109520823,n79007259,XX1720156,0000 0001 2147 4043,1898-04-26T00:00:00Z,1984-12-14T00:00:00Z,<XXI
"Alfaro,Óscar",Oscar Alfaro,1921-09-05,1963-12-25,male,Q2032642,11885602w,118471438,n86815777,XX825867,0000 0000 8414 778X,1921-09-05T00:00:00Z,"1963-12-25T00:00:00Z,1963-12-24T00:00:00Z",<XXI
"Alfaro_Velásquez,Carlos_E.",Carlos E. Alfaro Velásquez,,,,,,,,,,,,XXI
"Almagro,Ramón_de",Ramón de Almagro,,,,,,,,,,,,XXI
"Alonso,Dámaso",Dámaso Alonso,1899-10-22,1990-01-25,male,Q312945,12020631s,4943079,n79119067,XX824040,0000 0001 2118 5444,1899-10-22T00:00:00Z,1989-01-25T00:00:00Z,<XXI
"Alonso,Patricia",Patricia Alonso,,,,,,,,,,,,XXI
"Alonso_Rodríguez,Blanca-María",Blanca-María Alonso Rodríguez,,,,,,,,,,,,XXI
"Altamirano,Ignacio_Manuel",Ignacio Manuel Altamirano Basilio,1834-11-13,1893-02-13,male,Q572655,121517224,4968421,n50021474,XX861859,0000 0001 2275 9040,1834-11-13T00:00:00Z,1893-02-13T00:00:00Z,<XXI
"Altolaguirre,Manuel",Manuel Altolaguirre,1905-06-29,1959-07-26,male,Q921933,14020214c,"2482525,215",n80137692,XX839055,0000 0003 5924 7406,1905-06-29T00:00:00Z,1959-07-26T00:00:00Z,<XXI
"Altuzar_Suárez,Mario_Luis",Mario Luis Altuzar Suárez,,,,,,,,,,,,XXI
"Alvarado,Tito",Tito Alvarado,,,,,,,,,,,,XXI
"Alzate_López,Alain",Alain Alzate López,,,,,,,,,,,,XXI
"Alzugaray,Juan_Leandro",Juan Leandro Alzugaray,,,,,,,,,,,,XXI
Amanda,Amanda,,,,,,,,,,,,XXI
"Amoroso,Alberto_Gustavo",Alberto Gustavo Amoroso,,,,,,,,,,,,XXI
"Anadón,Antonio_José",Antonio José Anadón,,,,,,,,,,,,XXI
"Andivia,Juan",Juan Andivia,,,,,,,,,,,,XXI
"Andrade,Víctor",Víctor Andrade,,,,,,,,,,,,XXI
"Álvarez_de_Cienfuegos,Nicasio",Nicasio Álvarez de Cienfuegos,1764-12-14,1809-06-30,male,Q3875812,12198908n,109514381,n88075008,XX829258,0000 0001 1698 1366,1764-12-14T00:00:00Z,1809-06-30T00:00:00Z,<XXI
Anna,Anna,,,,,,,,,,,,XXI
"Álvarez_Quintero,Hermanos",Quintero brothers,1764-12-14,1809-06-30,male,Q2879473,12198908n,170287806,n88075008,XX829258,0000 0001 1698 1366,1764-12-14T00:00:00Z,1809-06-30T00:00:00Z,<XXI
"Ansotegi_Suárez,Íñigo_J.",Íñigo J. Ansotegi Suárez,,,,,,,,,,,,XXI
"Aparicio_González,Jesús",Jesús Aparicio González,,,,,,,,,,,,XXI
"Aranda,Ismael",Ismael Aranda,,,,,,,,,,,,XXI
"Andreu,Blanca",Blanca Andreu,1959-08-04,,female,Q3391905,122518159,62708664,n84174408,XX875274,0000 0000 5950 3885,1959-08-04T00:00:00Z,,<XXI
Anónimo_y_Romancero,Anónimo y Romancero,1000-08-04,1938-06-30,female,,122518159,62708664,n84174408,XX875274,0000 0000 5950 3885,1959-08-04T00:00:00Z,1809-06-30T00:00:00Z,<XXI
"Arespacochaga,Joaquín",Joaquín Arespacochaga,,,,,,,,,,,,XXI
"Argaya,Miguel",Miguel Argaya,,,,,,,,,,,,XXI
"Arboleda_Pombo,Julio",Julio Arboleda Pombo,1817-06-09,1862-11-13,male,Q3189799,122518159,40850132,n86011371,XX1508953,0000 0000 8119 8530,1817-06-09T00:00:00Z,1862-11-13T00:00:00Z,<XXI
"Arciniegas,Ismael_Enrique",Ismael Enrique Arciniegas,1865-01-02,1938-01-23,male,Q5922599,122518159,30956884,n85016456,XX1303712,0000 0000 7689 3635,1865-01-02T00:00:00Z,1938-01-23T00:00:00Z,<XXI
"Arguijo,Juan_de",Juan de Arguijo,1567-01-01,1622-08-07,male,Q3810934,127034830,121956947,n80081758,XX836291,0000 0001 0940 1175,1567-01-01T00:00:00Z,1622-08-07T00:00:00Z,<XXI
"Aridjis,Homero",Homero Aridjis,1940-04-06,,male,Q3506508,120604463,27087113,n50030688,XX1633664,0000 0001 0881 5835,1940-04-06T00:00:00Z,,<XXI
"Arjona,Manuel_María_de",Manuel María de Arjona y de Cubas,1771-06-12,1820-07-25,male,Q3845023,13172399d,121930874,n50030688,XX836858,0000 0001 0881 5835,1771-06-12T00:00:00Z,1820-07-25T00:00:00Z,<XXI
"Arolas,Juan",Juan Arolas,1805-06-20,1849-11-25,male,Q713816,120251904,12321739,n83214056,XX882717,0000 0001 0870 1475,1805-06-20T00:00:00Z,1849-11-25T00:00:00Z,<XXI
"Arreola,Juan_José",Juan José Arreola,1918-09-21,2001-12-03,male,Q1088596,11889216f,19673379,n83050857,XX1719942,0000 0001 0876 082X,1918-09-21T00:00:00Z,2001-12-03T00:00:00Z,<XXI
"Asén,Miguel_de",Miguel de Asén,,,,,,,,,,,,XXI
"Arriaza,Juan_Bautista_de",Juan Bautista Arriaza,1770-02-27,1837-01-22,male,Q327805,169308320,35385691,n85261512,XX1183449,0000 0000 6631 1718,1770-02-27T00:00:00Z,1837-01-22T00:00:00Z,<XXI
"Arturo,Aurelio",Aurelio Arturo,1906-02-22,1974-11-24,male,Q775518,12059670g,2492066,n89654094,XX1125953,0000 0001 2019 8163,1906-02-22T00:00:00Z,1974-11-24T00:00:00Z,<XXI
"Azar,Santiago",Santiago Azar,,,,,,,,,,,,XXI
"Azuela_Espinoza,Francisco",Francisco Azuela Espinoza,,,,,,,,,,,,XXI
"Álvarez,Atilio",Atilio Álvarez,,,,,,,,,,,,XXI
"Álvarez,Héctor",Héctor Álvarez,,,,,,,,,,,,XXI
"Álvarez,Luis",Luis Álvarez,,,,,,,,,,,,XXI
"Álvarez-Hidalgo,Francisco",Francisco Álvarez-Hidalgo,,,,,,,,,,,,XXI
"Álvarez_Bürger,Antonio",Antonio Álvarez Bürger,,,,,,,,,,,,XXI
"Asturias,Miguel_Ángel",Miguel Ángel Asturias Rosales,1899-10-19,1974-06-09,male,Q75603,11889334n,46756659,n79084755,XX825360,0000 0001 2130 8942,1899-10-19T00:00:00Z,1974-06-09T00:00:00Z,<XXI
"Aza,Vital",Vital Aza Álvarez-Buylla,1851-04-28,1912-12-13,male,Q7936725,14794767z,74116537,n82056737,XX823412,0000 0000 8154 5053,1851-04-28T00:00:00Z,1912-12-13T00:00:00Z,<XXI
"Badilla,Sergio",Sergio Badilla,,,,,,,,,,,,XXI
"Baier,Carlos",Carlos Baier,,,,,,,,,,,,XXI
"Balart_Elgueta,Federico",Federico Balart,1831-01-01,1905-01-01,male,Q8961028,14794767z,56173138,no91003263,XX4660432,0000 0001 1647 9165,1831-01-01T00:00:00Z,1905-01-01T00:00:00Z,<XXI
"Bane,Micky",Micky Bane,,,,,,,,,,,,XXI
"Bañuelos,Juan",Juan Bañuelos,1932-10-06,2017-03-29,male,Q21075883,12733987c,32122754,no90016106,XX976365,0000 0000 5953 7137,1932-10-06T00:00:00Z,2017-03-29T00:00:00Z,<XXI
"Barahona_de_Soto,Luis",Luis Barahona de Soto,1548-01-01,1595-11-05,male,Q4459377,"121731420,11959871s",51697972,n80104886,XX862640,0000 0000 6631 3596,1548-01-01T00:00:00Z,1595-11-05T00:00:00Z,<XXI
"Barba_Jacob,Porfirio",Porfirio Barba Jacob,1883-07-29,1942-01-14,male,Q1744460,12026188t,17237110,n82108014,XX877134,"0000 0000 7971 1411,0000 0003 6847 9866,0000 0003 6847 9890,0000 0003 6847 9858",1883-07-29T00:00:00Z,1942-01-14T00:00:00Z,<XXI
"Barbarito,Carlos",Carlos Barbarito,,,,,,,,,,,,XXI
"Barciela,Miguel",Miguel Barciela,,,,,,,,,,,,XXI
"Barragán,Nelson",Nelson Barragán,,,,,,,,,,,,XXI
"Barrera,Paula",Paula Barrera,,,,,,,,,,,,XXI
"Barrero,Hilario",Hilario Barrero,,,,,,,,,,,,XXI
"Barriga_Morato,Jesús_Ángel",Jesús Ángel Barriga Morato,,,,,,,,,,,,XXI
"Barroso,Daniel",Daniel Barroso,,,,,,,,,,,,XXI
"Barrundia_Sánchez,Mario",Mario Barrundia Sánchez,,,,,,,,,,,,XXI
"Bartha,Gonzalo_José",Gonzalo José Bartha,,,,,,,,,,,,XXI
"Basallote,Francisco",Francisco Basallote,,,,,,,,,,,,XXI
"Basso,Cristián",Cristián Basso,,,,,,,,,,,,XXI
"Becerra,Luz-Dary",Luz-Dary Becerra,,,,,,,,,,,,XXI
Bellatrix,Bellatrix,,,,,,,,,,,,XXI
"Bécquer,Gustavo_Adolfo",Gustavo Adolfo Bécquer,1836-02-17,1870-12-22,male,Q203715,120247640,39390815,n79120750,XX1719659,0000 0001 2128 8136,1836-02-17T00:00:00Z,1870-12-22T00:00:00Z,<XXI
"Bellessi,Diana",Diana Bellessi,1946-02-11,,female,Q521986,124697114,41939559,n85197799,XX1187827,0000 0000 2490 8372,1946-02-11T00:00:00Z,,<XXI
"Bello,Andrés",Andrés Bello,1781-11-29,1865-10-15,male,Q439195,12003052d,22152206,n79137108,XX1719859,0000 0001 1022 4057,1781-11-29T00:00:00Z,1865-10-15T00:00:00Z,<XXI
"Benedetti,Mario",Mario Benedetti,1920-09-14,2009-05-17,male,Q16285,118911780,56585930,n50007687,XX835835,0000 0003 6864 2168,1920-09-14T00:00:00Z,2009-05-17T00:00:00Z,<XXI
"Benítez_Reyes,Felipe",Felipe Benítez Reyes,1960-02-25,,male,Q5858106,12071569g,79055779,n88003645,XX1148129,0000 0001 2282 2409,1960-02-25T00:00:00Z,,<XXI
"Berceo,Gonzalo_de",Gonzalo de Berceo,1197-01-01,1264-01-01,male,Q1156048,"12052627n,12213018s",100176675,"n82105638,n88060759,n79079198",XX943233,0000 0001 1777 1598,1197-01-01T00:00:00Z,1264-01-01T00:00:00Z,<XXI
"Bermúdez,Leticia",Leticia Bermúdez,,,,,,,,,,,,XXI
"Bergamín,José",José Bergamín,1895-12-30,1983-08-28,male,Q332850,11885745f,109502857,n79021818,XX871685,0000 0001 1032 4832,1895-12-30T00:00:00Z,1983-08-28T00:00:00Z,<XXI
"Bernárdez,Mariana",Mariana Bernárdez,,,,,,,,,,,,XXI
"Bernárdez,Francisco_Luis",Francisco Luis Bernárdez,1900-10-05,1978-10-24,male,Q1442088,12020621g,"99799184,91",n95090064,XX1176751,0000 0001 1862 5568,1900-10-05T00:00:00Z,1978-10-24T00:00:00Z,<XXI
"Bersabé,Bernardo",Bernardo Bersabé,,,,,,,,,,,,XXI
"Berro,Adolfo",Adolfo Berro,1819-08-09,1841-09-29,male,Q8189542,12020621g,172924548,no2011110784,XX1511215,0000 0001 1862 5568,1819-08-09T00:00:00Z,1841-09-29T00:00:00Z,<XXI
"Bianchi_González,Eduardo",Eduardo Bianchi González,,,,,,,,,,,,XXI
"Bignes,Rubén",Rubén Bignes,,,,,,,,,,,,XXI
"Biosca,Julio",Julio Biosca,,,,,,,,,,,,XXI
"Blanco,Andrés_Eloy",Andrés Eloy Blanco,1896-08-06,1955-05-21,male,Q4760185,11962778f,54156331,n50026221,XX1724179,0000 0001 0857 5456,1896-08-06T00:00:00Z,1955-05-21T00:00:00Z,<XXI
"Blanco,José_Antonio",José Antonio Blanco,,,,,,,,,,,,XXI
"Blanco_Belmonte,Marcos_Rafael",Marcos Rafael Blanco Belmonte,1871-01-01,1936-11-01,male,Q15831581,121087830,19308920,no99015702,XX915389,0000 0001 0259 8198,1871-01-01T00:00:00Z,1936-11-01T00:00:00Z,<XXI
"Blanco_White,José_María",Joseph Blanco White,1776-07-11,1841-05-20,male,Q3047406,12176186b,"49268120,99753124,298244874","n50058642,no2018001290",XX1720245,"0000 0004 5312 543X,0000 0001 2131 9713",1776-07-11T00:00:00Z,1841-05-20T00:00:00Z,<XXI
"Bloksa_Gordo,Belén_María",Belén María Bloksa Gordo,,,,,,,,,,,,XXI
"Bocaz,Orlando",Orlando Bocaz,,,,,,,,,,,,XXI
"Boer,Miguel_Ángel_De",Miguel Ángel De Boer,,,,,,,,,,,,XXI
"Bolaño,Roberto",Roberto Bolaño,1953-04-28,2003-07-14,male,Q297532,13484215g,41992611,n80139757,XX972303,0000 0001 2129 8844,1953-04-28T00:00:00Z,"2003-07-14T00:00:00Z,2003-07-15T00:00:00Z,2003-07-16T00:00:00Z",<XXI
"Bonifaz_Nuño,Rubén",Rubén Bonifaz Nuño,1923-11-12,2013-01-31,male,Q548257,12058817b,46781570,n80097937,XX4578554,0000 0001 1634 3137,1923-11-12T00:00:00Z,2013-01-31T00:00:00Z,<XXI
"Bonnett,Piedad",Piedad Bonnett,1951-01-01,,female,Q291222,12222555b,119254242,n90668537,XX1375060,0000 0001 0775 1438,1951-01-01T00:00:00Z,,<XXI
"Bonnevie,Marie-Ange",Marie-Ange Bonnevie,,,,,,,,,,,,XXI
"Borao_Llop,Sergio",Sergio Borao Llop,,,,,,,,,,,,XXI
"Borge,Ernesto",Ernesto Borge,,,,,,,,,,,,XXI
"Borges,Jorge_Luis",Jorge Luis Borges,1899-08-24,1986-03-26,male,Q909,11892985q,88919448,n79007035,XX1720293,0000 0001 2142 9031,1899-08-24T00:00:00Z,"1986-03-26T00:00:00Z,1986-06-14T00:00:00Z",<XXI
"Boronat,Rubén_Manuel",Rubén Manuel Boronat,,,,,,,,,,,,XXI
"Boscán,Juan",Juan Boscán Almogáver,1490-01-01,1542-09-21,male,Q375056,12259519s,165164384,n83204767,XX856487,0000 0001 1850 6649,1490-01-01T00:00:00Z,1542-09-21T00:00:00Z,<XXI
"Botella,Harmonie",Harmonie Botella,,,,,,,,,,,,XXI
"Botella,Jorge",Jorge Botella,,,,,,,,,,,,XXI
"Botto,José",José Botto,,,,,,,,,,,,XXI
"Bousoño,Carlos",Carlos Bousoño,1923-05-09,2015-10-24,male,Q3362422,12019330k,22945913,n79006791,XX860634,0000 0001 0878 9358,1923-05-09T00:00:00Z,2015-10-24T00:00:00Z,<XXI
"Bousoño,Jorge",Jorge Bousoño,,,,,,,,,,,,XXI
"Bórquez_Basáez,Andrés",Andrés Bórquez Basáez,,,,,,,,,,,,XXI
"Brando,Alex",Alex Brando,,,,,,,,,,,,XXI
"Brandoni,Miguel_Ángel",Miguel Ángel Brandoni,,,,,,,,,,,,XXI
"Bretón_de_los_Herreros,Manuel",Manuel Bretón de los Herreros,1796-01-01,1873-01-01,male,Q3774440,12176084c,39419651,n82093602,XX863502,0000 0001 0889 6209,1796-01-01T00:00:00Z,1873-01-01T00:00:00Z,<XXI
"Brines,Francisco",Francisco Briñes,1932-01-22,,male,Q3821666,12035455n,115338268,n85221666,XX872062,0000 0000 8183 8665,1932-01-22T00:00:00Z,,<XXI
"Brito,Lorena",Lorena Brito,,,,,,,,,,,,XXI
"Brull,Mariano",Mariano Brull,1891-02-24,1956-06-08,male,Q2090361,12676482n,76437875,n85305100,XX867461,0000 0000 8395 5283,1891-02-24T00:00:00Z,1956-06-08T00:00:00Z,<XXI
"Buesa,José_Ángel",José Ángel Buesa,1910-09-02,1982-08-14,male,Q5396919,177298213,43339155,n86833143,XX1724876,0000 0000 5943 5755,1910-09-02T00:00:00Z,1982-08-14T00:00:00Z,<XXI
"Buezas_de_la_Torre,Ernesto_D.",Ernesto D. Buezas de la Torre,,,,,,,,,,,,XXI
"Burgos,Julia_de",Julia de Burgos,1914-02-17,1953-07-06,female,Q468516,12096751k,14798697,n85176751,XX1034973,0000 0001 1460 1075,1914-02-17T00:00:00Z,1953-07-06T00:00:00Z,<XXI
"Burgos_Cuadrado,José_Luis",José Luis Burgos Cuadrado,,,,,,,,,,,,XXI
"Burgos_S.,José_M.",José M. Burgos S.,,,,,,,,,,,,XXI
"Burriel,Adolfo",Adolfo Burriel,,,,,,,,,,,,XXI
"Cabalgante,Blanca",Blanca Cabalgante,,,,,,,,,,,,XXI
"Caballero,Adelaida",Adelaida Caballero,,,,,,,,,,,,XXI
"Caballero,Juanjo",Juanjo Caballero,,,,,,,,,,,,XXI
"Caballero,Pablo",Pablo Caballero,,,,,,,,,,,,XXI
"Caballero_Bonald,José_Manuel",José Manuel Caballero,1926-11-11,,male,Q3081177,11885859d,76310135,n50032541,XX828667,0000 0001 0916 8481,1926-11-11T00:00:00Z,,<XXI
"Cabral,Manuel_del",Manuel del Cabral,1907-03-07,1999-05-14,male,Q1891789,120206951,100073592,n81081895,XX828667,0000 0001 0928 508X,1907-03-07T00:00:00Z,1999-05-14T00:00:00Z,<XXI
"Cabrera_Sánchez,Pedro",Pedro Cabrera Sánchez,,,,,,,,,,,,XXI
"Cadalso,José",José Cadalso,1741-10-08,1782-02-26,male,Q919098,11885865b,5817,n50051883,XX1719952,0000 0001 0860 7171,1741-10-08T00:00:00Z,1782-02-26T00:00:00Z,<XXI
"Cadenas,Rafael",Rafael Cadenas,1930-04-08,,male,Q366729,135222346,24759642,n81015378,XX1133037,0000 0000 8103 6857,1930-04-08T00:00:00Z,,<XXI
"Calama_Rodríguez,Luis",Luis Calama Rodríguez,,,,,,,,,,,,XXI
"Calatrava,Ferrán_de",Ferrán de Calatrava,,,,,,,,,,,,XXI
"Calderón_de_la_Barca,Pedro",Pedro Calderón de la Barca,1600-01-17,1681-05-25,male,Q170800,11894840z,73850932,n79040086,XX1719649,0000 0001 2281 8039,1600-01-17T00:00:00Z,1681-05-25T00:00:00Z,<XXI
"Calvo,Luis_Raúl",Luis Raúl Calvo,,,,,,,,,,,,XXI
"Camozzi,Maria_Cecilia",Maria Cecilia Camozzi,,,,,,,,,,,,XXI
"Camões,Luís_de",Luís de Camões,1524-12-01,1580-06-10,male,Q590,11894947n,34454091,n79027139,XX919006,0000 0001 2100 5159,"1524-12-01T00:00:00Z,1525-01-01T00:00:00Z",1580-06-10T00:00:00Z,<XXI
"Campoamor,Ramón_de",Ramón de Campoamor,1817-01-01,1901-02-11,male,Q64578,12326528k,2542317,n85006349,XX855697,0000 0001 0862 9186,"1817-01-01T00:00:00Z,1817-09-24T00:00:00Z",1901-02-11T00:00:00Z,<XXI
"Campos,Soledad",Soledad Campos,,,,,,,,,,,,XXI
"Cano_Redondo,Abilio",Abilio Cano Redondo,,,,,,,,,,,,XXI
"Cantón_y_Cantón,Juan_José",Juan José Cantón y Cantón,,,,,,,,,,,,XXI
"Cañizal,Luis",Luis Cañizal,1946-05-27,,male,,12326528k,2542317,n85006349,XX855697,0000 0001 0862 9186,1946-05-27T00:00:00Z,,<XXI
"Capdevila,Arturo",Arturo Capdevila,1889-03-14,1967-12-20,male,Q715163,12173790h,27984136,n84167627,XX1132509,0000 0000 8367 4174,1889-03-14T00:00:00Z,1967-12-20T00:00:00Z,<XXI
"Caraballo,Luis_Gilberto",Luis Gilberto Caraballo,,,,,,,,,,,,XXI
"Carciofetti,Libia_Beatriz",Libia Beatriz Carciofetti,,,,,,,,,,,,XXI
"Cardenal,Ernesto",Ernesto Cardenal,1925-01-20,2020-03-01,male,Q276510,11895138q,110900632,n79058833,XX1720557,0000 0001 0935 1390,1925-01-20T00:00:00Z,2020-03-01T00:00:00Z,<XXI
"Caro,José_Eusebio",José Eusebio Caro,1817-03-05,1853-01-28,male,Q1764156,15552749h,44615987,n83053801,XX934795,0000 0000 6120 6206,1817-03-05T00:00:00Z,1853-01-28T00:00:00Z,<XXI
"Caro,Miguel_Antonio",Miguel Antonio Caro Sánchez,1842-11-11,1909-08-05,male,Q887903,12018728w,36929873,n50032478,XX830205,0000 0001 2128 0820,1842-11-11T00:00:00Z,1909-08-05T00:00:00Z,<XXI
"Caro,Rodrigo",Rodrigo Caro,1573-10-04,1647-08-10,male,Q2056386,120741511,"34645,77507",n85090537,XX966528,0000 0001 0860 9572,1573-10-04T00:00:00Z,1647-08-10T00:00:00Z,<XXI
"Carranza,Eduardo",Eduardo Carranza,1913-07-23,1985-02-13,male,Q3048312,12054497r,27085429,n50058446,XX830990,0000 0000 8076 705X,1913-07-23T00:00:00Z,1985-02-13T00:00:00Z,<XXI
"Carrera_Andrade,Jorge",Jorge Carrera Andrade,1903-09-18,1978-11-07,male,Q1703787,120206177,44870683,n50040358,XX996287,0000 0001 0893 9918,1903-09-18T00:00:00Z,1978-11-07T00:00:00Z,<XXI
"Carriedo,Gabino-Alejandro",Gabino-Alejandro Carriedo,1923-01-01,1981-01-01,male,Q8963270,121749297,28259389,n92021848,XX857617,0000 0000 7827 335X,1923-01-01T00:00:00Z,1981-01-01T00:00:00Z,<XXI
"Carriego,Evaristo",Evaristo Carriego,1883-05-07,1912-10-13,male,Q188798,120386041,22159020,n83071168,XX877926,0000 0000 8100 656X,1883-05-07T00:00:00Z,1912-10-13T00:00:00Z,<XXI
"Carvajal,Darío_P.",Darío P. Carvajal,,,,,,,,,,,,XXI
"Carvajal,Mario",Mario Carvajal Borrero,1896-10-07,1972-04-20,male,Q26970955,120243866,9860637,n83071168,XX877926,0000 0000 8100 656X,1896-10-07T00:00:00Z,1972-04-20T00:00:00Z,<XXI
"Casal,Julián_del",Julián del Casal,1863-11-07,1893-10-21,male,Q1234066,135181496,24758421,n83051229,XX1033123,0000 0001 2099 9577,1863-11-07T00:00:00Z,1893-10-21T00:00:00Z,<XXI
"Caseiro,María_Eugenia",María Eugenia Caseiro,,,,,,,,,,,,XXI
